🕘️更新时间,#genre#
2025-08-04 12:37:51,http://180.165.10.193:4022/rtp/239.45.3.145:5140

📺央视频道,#genre#
CCTV-1,http://180.165.10.193:4022/rtp/239.45.3.145:5140
CCTV-1,http://121.29.141.88:4022/rtp/239.253.92.83:8012
CCTV-1,http://116.237.148.215:8881/rtp/239.45.3.145:5140
CCTV-1,http://8.138.7.223/tv/dl/careryun.php?id=1
CCTV-2,http://8.138.7.223/tv/dl/careryun.php?id=2
CCTV-2,http://121.29.141.88:4022/rtp/239.253.92.190:6065
CCTV-2,http://116.237.148.215:8881/rtp/239.45.3.208:5140
CCTV-3,http://8.138.7.223/tv/dl/careryun.php?id=3
CCTV-3,http://121.29.141.88:4022/rtp/239.253.92.191:6057
CCTV-3,http://116.237.148.215:8881/rtp/239.45.1.68:5140
CCTV-4,http://8.138.7.223/tv/dl/careryun.php?id=6
CCTV-4,http://116.237.148.215:8881/rtp/239.45.0.2:5140
CCTV-4,http://180.165.10.193:4022/rtp/239.45.0.2:5140
CCTV-4,http://121.29.141.88:4022/rtp/239.253.92.251:6141
CCTV-4,http://8.138.7.223/tv/dl/careryun.php?id=5
CCTV-4,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8
CCTV-4,http://8.138.7.223/tv/dl/careryun.php?id=4
CCTV-5,http://8.138.7.223/tv/dl/careryun.php?id=8
CCTV-5,http://180.165.10.193:4022/rtp/239.45.1.69:5140
CCTV-5,http://121.29.141.88:4022/rtp/239.253.92.181:6046
CCTV-5,http://omnix.cn:4000/udp/225.1.8.89:8000
CCTV-5,http://8.138.7.223/tv/dl/careryun.php?id=7
CCTV-5+,http://121.29.141.88:4022/rtp/239.253.92.82:8013
CCTV-6,http://121.29.141.88:4022/rtp/239.253.92.193:6058
CCTV-6,http://116.237.148.215:8881/rtp/239.45.1.70:5140
CCTV-6,http://180.165.10.193:4022/rtp/239.45.1.70:5140
CCTV-6,http://8.138.7.223/tv/dl/careryun.php?id=9
CCTV-6,http://8.138.7.223/tv/dl/douyincdn.php?id=6
CCTV-7,http://8.138.7.223/tv/dl/careryun.php?id=10
CCTV-7,http://8.138.7.223/tv/dl/douyincdn.php?id=7
CCTV-7,http://121.29.141.88:4022/rtp/239.253.92.194:6059
CCTV-7,http://omnix.cn:4000/udp/225.1.8.7:8104
CCTV-7,http://116.237.148.215:8881/rtp/239.45.3.56:5140
CCTV-8,http://8.138.7.223/tv/dl/careryun.php?id=11
CCTV-8,http://180.165.10.193:4022/rtp/239.45.1.71:5140
CCTV-8,http://121.29.141.88:4022/rtp/239.253.92.195:6060
CCTV-8,http://116.237.148.215:8881/rtp/239.45.1.71:5140
CCTV-8,http://8.138.7.223/tv/dl/douyincdn.php?id=8
CCTV-9,http://180.165.10.193:4022/rtp/239.45.3.4:5140
CCTV-9,http://fjcm-2118.live.iptv.darwinchow.com/PLTV/88888888/224/3221225820/index.m3u8
CCTV-9,http://116.237.148.215:8881/rtp/239.45.3.4:5140
CCTV-9,http://8.138.7.223/tv/dl/careryun.php?id=12
CCTV-9,http://121.29.141.88:4022/rtp/239.253.92.107:6020
CCTV-9,http://8.138.7.223/tv/dl/douyincdn.php?id=9
CCTV-10,http://121.29.141.88:4022/rtp/239.253.92.196:6061
CCTV-10,http://180.165.10.193:4022/rtp/239.45.3.8:5140
CCTV-10,http://116.237.148.215:8881/rtp/239.45.3.8:5140
CCTV-10,http://8.138.7.223/tv/dl/careryun.php?id=13
CCTV-11,http://121.29.141.88:4022/rtp/239.253.93.153:6321
CCTV-11,http://8.138.7.223/tv/dl/careryun.php?id=14
CCTV-12,http://8.138.7.223/tv/dl/careryun.php?id=15
CCTV-12,http://121.29.141.88:4022/rtp/239.253.92.197:6062
CCTV-12,http://116.237.148.215:8881/rtp/239.45.3.10:5140
CCTV-13,http://121.29.141.88:4022/rtp/239.253.92.13:8008
CCTV-13,http://8.138.7.223/tv/dl/careryun.php?id=16
CCTV-13,http://180.165.10.193:4022/rtp/239.45.1.198:5140
CCTV-14,http://8.138.7.223/tv/dl/careryun.php?id=17
CCTV-14,http://121.29.141.88:4022/rtp/239.253.92.198:6063
CCTV-14,http://116.237.148.215:8881/rtp/239.45.3.23:5140
CCTV-15,http://8.138.7.223/tv/dl/careryun.php?id=18
CCTV-15,http://121.29.141.88:4022/rtp/239.253.93.154:6322
CCTV-17,http://116.237.148.215:8881/rtp/239.45.3.52:5140
